,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
59,AMAT,2025-03-21,155.0,3.5,put,141,3785,0.51921,-0.56911,0.05438,-0.46243,0.05469,-0.00748,0.0027397260273972603,1.949535652049292,3.5
60,AMAT,2025-03-21,157.5,1.48,call,160,927,0.60488,0.33214,0.04313,-0.51526,0.05053,0.00404,0.0027397260273972603,0.8176769098122847,1.48
61,AMAT,2025-03-21,157.5,5.15,put,19,306,0.29848,-0.82162,0.06281,-0.16516,0.03631,-0.01072,0.0027397260273972603,3.144600678543071,5.15
62,AMAT,2025-03-21,160.0,0.75,call,316,1717,0.51418,0.19563,0.0386,-0.33294,0.03845,0.00241,0.0027397260273972603,0.1908698490938736,0.75
63,AMAT,2025-03-21,160.0,7.23,put,87,1940,0.49497,-0.81391,0.03889,-0.29192,0.03728,-0.01085,0.0027397260273972603,5.682881727065677,7.23
64,AMAT,2025-03-21,162.5,0.42,call,68,1225,0.51723,0.11847,0.02754,-0.23994,0.02759,0.00146,0.0027397260273972603,0.05133229578907894,0.42
65,AMAT,2025-03-21,162.5,8.4,put,16,154,0.23498,-1.0,0.0,0.01927,0.0,-0.01335,0.0027397260273972603,8.017742867728742,8.4
66,AMAT,2025-03-21,165.0,0.21,call,508,1349,0.52089,0.06715,0.01794,-0.15831,0.0181,0.00083,0.0027397260273972603,0.01127839032561484,0.21
67,AMAT,2025-03-21,165.0,11.3,put,68,2673,0.56098,-0.91725,0.01953,-0.18034,0.02122,-0.01254,0.0027397260273972603,10.537619984410384,11.3
68,AMAT,2025-03-21,167.5,0.15,call,29,403,0.53186,0.03776,0.01111,-0.10211,0.01144,0.00047,0.0027397260273972603,0.0023721110707787263,0.15
69,AMAT,2025-03-21,167.5,14.01,put,7,91,0.46632,-0.979,0.00778,-0.0351,0.00702,-0.0135,0.0027397260273972603,13.017521705255177,14.01
70,AMAT,2025-03-21,170.0,0.06,call,48,1170,0.56113,0.02423,0.00729,-0.07454,0.00792,0.0003,0.0027397260273972603,0.0007065592100559681,0.06
71,AMAT,2025-03-21,170.0,16.54,put,10,2470,0.43102,-1.0,0.0,0.02016,0.0,-0.01397,0.0027397260273972603,15.5167158644459,16.54
72,AMAT,2025-03-21,172.5,0.06,call,0,179,0.48994,0.00472,0.00202,-0.0157,0.00191,6e-05,0.0027397260273972603,7.5169435507075645e-06,0.06
73,AMAT,2025-03-21,172.5,18.47,put,5,151,0.65473,-0.97315,0.00681,-0.07424,0.00863,-0.01384,0.0027397260273972603,18.017329169887432,18.47
74,AMAT,2025-03-21,175.0,0.02,call,20,2227,0.61646,0.01044,0.00323,-0.03977,0.00385,0.00013,0.0027397260273972603,6.835437500329541e-05,0.02
75,AMAT,2025-03-21,175.0,21.49,put,4,812,0.47302,-0.99876,0.00062,0.01623,0.00057,-0.01436,0.0027397260273972603,20.516022503493474,21.49
76,AMAT,2025-03-21,177.5,0.03,call,2,116,0.59558,0.00396,0.00142,-0.01628,0.00163,5e-05,0.0027397260273972603,4.448845520748572e-06,0.03
78,AMAT,2025-03-21,180.0,0.01,call,9,2347,0.64649,0.00367,0.00122,-0.01653,0.00153,5e-05,0.0027397260273972603,3.5849901593048607e-06,0.01
80,AMAT,2025-03-21,182.5,0.05,call,0,23,0.69634,0.00344,0.00107,-0.01676,0.00144,4e-05,0.0027397260273972603,2.9635984914955444e-06,2.963970423106227e-06
82,AMAT,2025-03-21,185.0,0.02,call,6,2690,0.74512,0.00323,0.00094,-0.01697,0.00136,4e-05,0.0027397260273972603,2.494910272154982e-06,0.02
84,AMAT,2025-03-21,187.5,0.07,call,0,44,0.79283,0.00306,0.00084,-0.01716,0.00129,4e-05,0.0027397260273972603,2.128080092027036e-06,2.128306732556837e-06
86,AMAT,2025-03-21,190.0,0.03,call,3,2019,0.83978,0.0029,0.00076,-0.01736,0.00124,4e-05,0.0027397260273972603,1.8491471441255808e-06,0.03
88,AMAT,2025-03-21,192.5,0.03,call,0,46,0.88566,0.00277,0.00069,-0.01752,0.00118,3e-05,0.0027397260273972603,1.6160004079997172e-06,1.616151504037865e-06
90,AMAT,2025-03-21,195.0,0.01,call,21,1424,0.93079,0.00265,0.00063,-0.01769,0.00114,3e-05,0.0027397260273972603,1.4298788868093886e-06,0.01
92,AMAT,2025-03-21,197.5,0.18,call,0,38,0.97499,0.00254,0.00058,-0.01783,0.00109,3e-05,0.0027397260273972603,1.2715852478869182e-06,1.2716914252551167e-06
94,AMAT,2025-03-21,200.0,0.01,call,0,2907,1.01844,0.00244,0.00054,-0.01796,0.00106,3e-05,0.0027397260273972603,1.1399722269401938e-06,0.01
96,AMAT,2025-03-21,205.0,0.01,call,0,24,1.10334,0.00227,0.00046,-0.01824,0.00099,3e-05,0.0027397260273972603,9.381425617337771e-07,9.382105770695028e-07
98,AMAT,2025-03-21,210.0,0.01,call,25,2568,1.18535,0.00213,0.00041,-0.01847,0.00093,3e-05,0.0027397260273972603,7.852949446346202e-07,0.01
100,AMAT,2025-03-21,215.0,0.07,call,0,6,1.26492,0.00201,0.00036,-0.01869,0.00089,2e-05,0.0027397260273972603,6.701388790513444e-07,6.701807627312852e-07
102,AMAT,2025-03-21,220.0,0.01,call,0,3607,1.34206,0.0019,0.00032,-0.01889,0.00084,2e-05,0.0027397260273972603,5.791682916455346e-07,0.01
104,AMAT,2025-03-21,225.0,0.01,call,0,1,1.41705,0.00181,0.00029,-0.01909,0.00081,2e-05,0.0027397260273972603,5.072131231008802e-07,5.072410198226507e-07
106,AMAT,2025-03-21,230.0,0.01,call,0,1307,1.48992,0.00173,0.00027,-0.01927,0.00077,2e-05,0.0027397260273972603,4.4835258907275895e-07,0.01
108,AMAT,2025-03-21,240.0,0.02,call,0,841,1.62985,0.0016,0.00023,-0.01959,0.00072,2e-05,0.0027397260273972603,3.5898632650330955e-07,0.02
110,AMAT,2025-03-21,250.0,0.01,call,0,743,1.76262,0.00149,0.0002,-0.01985,0.00067,2e-05,0.0027397260273972603,2.9458542569199084e-07,0.01
112,AMAT,2025-03-21,260.0,0.03,call,0,176,1.8893,0.0014,0.00017,-0.02012,0.00064,2e-05,0.0027397260273972603,2.479300630141286e-07,0.03
114,AMAT,2025-03-21,270.0,0.1,call,0,333,2.01003,0.00133,0.00016,-0.02034,0.00061,2e-05,0.0027397260273972603,2.1154400318973121e-07,0.1
116,AMAT,2025-03-21,280.0,0.04,call,0,151,2.12573,0.00126,0.00014,-0.02057,0.00058,2e-05,0.0027397260273972603,1.8364191718058884e-07,0.04
118,AMAT,2025-03-21,290.0,0.02,call,0,225,2.23655,0.00121,0.00013,-0.02077,0.00056,1e-05,0.0027397260273972603,1.6110627338628284e-07,0.02
120,AMAT,2025-03-21,300.0,1.27,call,0,115,2.34295,0.00116,0.00012,-0.02095,0.00054,1e-05,0.0027397260273972603,1.427494852417976e-07,1.27
122,AMAT,2025-03-21,310.0,0.01,call,0,305,2.44523,0.00111,0.00011,-0.02111,0.00052,1e-05,0.0027397260273972603,1.2750822388276918e-07,0.01
124,AMAT,2025-03-21,320.0,0.02,call,0,122,2.5437,0.00108,0.0001,-0.02127,0.0005,1e-05,0.0027397260273972603,1.1470886648209697e-07,0.02
126,AMAT,2025-03-21,330.0,0.15,call,0,72,2.63882,0.00104,0.0001,-0.02142,0.00049,1e-05,0.0027397260273972603,1.0409147807338544e-07,0.15
128,AMAT,2025-03-21,340.0,0.03,call,0,34,2.73059,0.00101,9e-05,-0.02156,0.00047,1e-05,0.0027397260273972603,9.49130929762963e-08,9.491575054289963e-08
130,AMAT,2025-03-21,350.0,0.01,call,0,1669,2.81931,0.00098,8e-05,-0.02169,0.00046,1e-05,0.0027397260273972603,8.700137642649389e-08,0.01
137,AMAT,2025-03-28,90.0,0.02,put,2,0,1.09923,-0.00121,0.00014,-0.00559,0.00102,-5e-05,0.021917808219178082,0.002206216393073099,0.002206344353623897
146,AMAT,2025-03-28,115.0,35.2,call,0,4,0.56982,0.9991,0.00021,-0.01582,0.00077,0.03143,0.021917808219178082,39.58659621257753,39.58853595579195
148,AMAT,2025-03-28,120.0,33.99,call,0,2,0.57119,0.99615,0.00079,-0.02246,0.00291,0.03267,0.021917808219178082,34.595862767815134,34.602263002427186
150,AMAT,2025-03-28,125.0,27.23,call,0,2,0.59817,0.98368,0.00268,-0.04544,0.01034,0.03349,0.021917808219178082,29.63014338811395,29.649432611459613
151,AMAT,2025-03-28,125.0,0.12,put,6,25,0.45702,-0.00281,0.00074,-0.00495,0.00219,-0.00012,0.021917808219178082,0.0021392105718179705,0.002139523966166742
152,AMAT,2025-03-28,130.0,22.25,call,0,3,0.5439,0.97159,0.00471,-0.05981,0.01653,0.03434,0.021917808219178082,24.665708487008573,24.691903469421774
153,AMAT,2025-03-28,130.0,0.24,put,10,39,0.5404,-0.02766,0.00463,-0.04314,0.01616,-0.0012,0.021917808219178082,0.060485519890495,0.06054839458842117
159,AMAT,2025-03-28,133.0,0.25,put,7,0,0.6064,-0.068,0.00852,-0.09986,0.03336,-0.00299,0.021917808219178082,0.2476476560709724,0.248166230262785
162,AMAT,2025-03-28,135.0,16.56,call,0,1,0.53354,0.9348,0.00937,-0.10091,0.03229,0.03409,0.021917808219178082,19.8069294139477,19.848187247916954
163,AMAT,2025-03-28,135.0,0.35,put,28,88,0.57104,-0.07792,0.01004,-0.10424,0.03703,-0.00342,0.021917808219178082,0.2795312847221352,0.35
167,AMAT,2025-03-28,137.0,0.48,put,5,0,0.51067,-0.08039,0.0115,-0.09529,0.03792,-0.00352,0.021917808219178082,0.2546574085563753,0.2552866670129181
168,AMAT,2025-03-28,138.0,16.55,call,1,0,0.51189,0.90548,0.01295,-0.12407,0.04278,0.03362,0.021917808219178082,16.934076470526037,16.98126327461116
169,AMAT,2025-03-28,138.0,0.58,put,6,25,0.47561,-0.07965,0.01226,-0.08803,0.03765,-0.00347,0.021917808219178082,0.22990010839519393,0.23047382411569411
170,AMAT,2025-03-28,139.0,13.8,call,0,2,0.48156,0.90327,0.014,-0.11943,0.04352,0.03381,0.021917808219178082,15.921856313800248,15.96764757255874
171,AMAT,2025-03-28,139.0,0.6,put,2,0,0.53354,-0.11862,0.01464,-0.13223,0.05042,-0.00521,0.021917808219178082,0.47383583183766476,0.4753772197986327
172,AMAT,2025-03-28,140.0,11.65,call,0,10,0.49741,0.8799,0.01584,-0.1408,0.05086,0.03305,0.021917808219178082,15.056098291003138,15.106310378803634
173,AMAT,2025-03-28,140.0,0.71,put,18,145,0.49665,-0.11976,0.01583,-0.12377,0.05076,-0.00525,0.021917808219178082,0.44010302612713836,0.71
174,AMAT,2025-03-28,141.0,13.85,call,1,0,0.57226,0.8308,0.01735,-0.19689,0.06411,0.03109,0.021917808219178082,14.49001304242077,14.54903086554255
176,AMAT,2025-03-28,142.0,11.95,call,0,6,0.48628,0.84691,0.01913,-0.15993,0.06005,0.03214,0.021917808219178082,13.233595759528114,13.285987565140086
177,AMAT,2025-03-28,142.0,1.0,put,11,55,0.47256,-0.1467,0.01913,-0.13513,0.05837,-0.00643,0.021917808219178082,0.5597480503442469,1.0
178,AMAT,2025-03-28,143.0,12.15,call,3,2,0.49619,0.82096,0.02074,-0.17839,0.06645,0.03125,0.021917808219178082,12.41932607826783,12.473468130306038
179,AMAT,2025-03-28,143.0,0.97,put,7,26,0.4747,-0.16928,0.02092,-0.14898,0.06412,-0.00743,0.021917808219178082,0.6984558324360854,0.7014256666356036
180,AMAT,2025-03-28,144.0,9.75,call,0,1,0.48003,0.80498,0.02261,-0.1815,0.07006,0.03083,0.021917808219178082,11.496370983400269,11.549639418351854
182,AMAT,2025-03-28,145.0,11.85,call,0,9,0.53659,0.758,0.0229,-0.22541,0.07935,0.02894,0.021917808219178082,11.023029672347391,11.079384911547269
183,AMAT,2025-03-28,145.0,1.47,put,9,344,0.47196,-0.21643,0.02446,-0.17175,0.07453,-0.00952,0.021917808219178082,1.0109033842517512,1.47
185,AMAT,2025-03-28,146.0,1.69,put,1,31,0.45885,-0.2376,0.02652,-0.1757,0.07856,-0.01046,0.021917808219178082,1.1302804062446796,1.1362188994990894
186,AMAT,2025-03-28,147.0,9.1,call,10,10,0.44924,0.73758,0.02855,-0.19843,0.08281,0.02867,0.021917808219178082,8.910100990507118,8.959712432822261
187,AMAT,2025-03-28,147.0,2.39,put,4,18,0.46403,-0.26828,0.02795,-0.18918,0.08374,-0.01183,0.021917808219178082,1.3884408704824267,1.396194618523636
189,AMAT,2025-03-28,148.0,2.17,put,6,18,0.46189,-0.29741,0.02951,-0.19754,0.088,-0.01314,0.021917808219178082,1.6296318329216462,1.6392067347559771
190,AMAT,2025-03-28,149.0,7.8,call,2,14,0.459,0.67224,0.03097,-0.22198,0.09177,0.02627,0.021917808219178082,7.518945509405569,7.565089277996791
191,AMAT,2025-03-28,149.0,2.61,put,1,44,0.46952,-0.33076,0.03038,-0.20988,0.0921,-0.01465,0.021917808219178082,1.977137462087974,1.9892454519058007
192,AMAT,2025-03-28,150.0,6.6,call,14,106,0.45656,0.64041,0.03224,-0.22779,0.09502,0.02511,0.021917808219178082,6.821805665745188,6.6
193,AMAT,2025-03-28,150.0,2.81,put,40,515,0.45641,-0.35955,0.03225,-0.20994,0.09502,-0.01593,0.021917808219178082,2.1962880099292192,2.81
194,AMAT,2025-03-28,152.5,4.69,call,9,37,0.44863,0.55646,0.03465,-0.23463,0.10035,0.02199,0.021917808219178082,5.215531761410816,5.250736600800339
195,AMAT,2025-03-28,152.5,3.72,put,34,80,0.44284,-0.44319,0.03509,-0.21364,0.10034,-0.01971,0.021917808219178082,3.0372110406203277,3.72
196,AMAT,2025-03-28,155.0,4.25,call,48,338,0.44238,0.46848,0.03538,-0.23159,0.10105,0.01864,0.021917808219178082,3.8574125666583825,4.25
197,AMAT,2025-03-28,155.0,4.9,put,8,274,0.41403,-0.53561,0.03777,-0.19868,0.10096,-0.02387,0.021917808219178082,3.9690115808665922,4.9
198,AMAT,2025-03-28,157.5,2.9,call,13,52,0.43949,0.38207,0.03415,-0.21956,0.09691,0.01529,0.021917808219178082,2.772655535586928,2.9
199,AMAT,2025-03-28,157.5,5.95,put,6,49,0.4308,-0.62079,0.03476,-0.19617,0.09669,-0.02791,0.021917808219178082,5.563367673428871,5.599932907462483
200,AMAT,2025-03-28,160.0,2.23,call,22,360,0.42455,0.29555,0.03201,-0.19141,0.08775,0.0119,0.021917808219178082,1.8244143507626873,2.23
201,AMAT,2025-03-28,160.0,7.99,put,6,347,0.42561,-0.70392,0.03196,-0.17308,0.08782,-0.03187,0.021917808219178082,7.1976474107680275,7.99
202,AMAT,2025-03-28,162.5,1.42,call,59,256,0.41937,0.22121,0.02788,-0.16213,0.07547,0.00894,0.021917808219178082,1.182150829572656,1.42
203,AMAT,2025-03-28,162.5,10.73,put,1,12,0.24102,-0.91573,0.02525,-0.02959,0.03928,-0.04099,0.021917808219178082,8.073132279475999,8.099180240775729
204,AMAT,2025-03-28,165.0,0.85,call,99,1162,0.41601,0.15949,0.02297,-0.13113,0.06169,0.00647,0.021917808219178082,0.7377239549959533,0.85
205,AMAT,2025-03-28,165.0,11.71,put,5,86,0.35702,-0.87936,0.02213,-0.07366,0.05102,-0.04022,0.021917808219178082,10.805627703888462,11.71
206,AMAT,2025-03-28,167.5,0.6,call,129,155,0.4183,0.11353,0.0181,-0.10421,0.04887,0.00462,0.021917808219178082,0.46179187542808187,0.6
207,AMAT,2025-03-28,167.5,14.32,put,2,7,0.30976,-0.95076,0.01294,-0.02112,0.02589,-0.04381,0.021917808219178082,12.977697014664585,13.002893213418558
208,AMAT,2025-03-28,170.0,0.38,call,36,311,0.41251,0.07453,0.01344,-0.07515,0.0358,0.00304,0.021917808219178082,0.2572456455651899,0.38
209,AMAT,2025-03-28,170.0,16.21,put,13,139,0.40427,-0.92971,0.01311,-0.05028,0.03423,-0.04365,0.021917808219178082,15.587975620578817,16.21
210,AMAT,2025-03-28,172.5,0.26,call,154,61,0.46875,0.07365,0.01172,-0.08444,0.03547,0.00299,0.021917808219178082,0.2782985271134475,0.26
211,AMAT,2025-03-28,172.5,18.58,put,3,1,0.41525,-0.95004,0.00977,-0.03482,0.02619,-0.04516,0.021917808219178082,18.00192261346524,18.03429007032425
212,AMAT,2025-03-28,175.0,0.15,call,30,348,0.42683,0.03574,0.00725,-0.04326,0.01997,0.00146,0.021917808219178082,0.09844155278108513,0.15
213,AMAT,2025-03-28,175.0,21.18,put,4,69,0.44863,-0.95649,0.00809,-0.03262,0.02344,-0.04611,0.021917808219178082,20.480912457114727,21.18
214,AMAT,2025-03-28,177.5,0.13,call,0,1,0.32455,0.00398,0.00143,-0.00493,0.00299,0.00016,0.021917808219178082,0.004759315689735755,0.004760367498503186
216,AMAT,2025-03-28,180.0,0.19,call,3,352,0.35245,0.00369,0.00123,-0.005,0.0028,0.00015,0.021917808219178082,0.004523746092646275,0.19
218,AMAT,2025-03-28,185.0,0.05,call,5,226,0.40656,0.00325,0.00095,-0.00514,0.0025,0.00013,0.021917808219178082,0.004178233473098425,0.05
220,AMAT,2025-03-28,190.0,0.05,call,0,159,0.45839,0.00292,0.00077,-0.00524,0.00227,0.00012,0.021917808219178082,0.003914049410360776,0.05
222,AMAT,2025-03-28,195.0,0.02,call,0,2381,0.50823,0.00265,0.00063,-0.00534,0.00208,0.00011,0.021917808219178082,0.0037068810424065457,0.02
224,AMAT,2025-03-28,200.0,0.03,call,0,75,0.55625,0.00244,0.00054,-0.00542,0.00193,0.0001,0.021917808219178082,0.003537358849779737,0.03
226,AMAT,2025-03-28,205.0,0.07,call,0,35,0.60274,0.00227,0.00047,-0.00549,0.00181,9e-05,0.021917808219178082,0.0034045998910920694,0.003404988015479654
228,AMAT,2025-03-28,210.0,0.01,call,0,45,0.64771,0.00213,0.00041,-0.00557,0.00171,9e-05,0.021917808219178082,0.003291477932650333,0.003291826829311194
230,AMAT,2025-03-28,215.0,0.18,call,0,8,0.69131,0.00201,0.00036,-0.00563,0.00162,8e-05,0.021917808219178082,0.0031958578128475773,0.0031961742027710495
232,AMAT,2025-03-28,220.0,0.04,call,0,38,0.73353,0.00191,0.00033,-0.00569,0.00154,8e-05,0.021917808219178082,0.0031081244493701143,0.0031084150590061305
234,AMAT,2025-03-28,225.0,0.77,call,0,1,0.77454,0.00181,0.00029,-0.00574,0.00147,7e-05,0.021917808219178082,0.0030312138066341254,0.0030314805534491095
236,AMAT,2025-03-28,230.0,0.09,call,0,5,0.81448,0.00173,0.00027,-0.00579,0.00142,7e-05,0.021917808219178082,0.0029663468792153896,0.0029665975355266834
256,AMAT,2025-04-04,85.0,69.23,call,0,0,0.39794,1.0,0.0,-0.01006,0.0,0.03951,0.0410958904109589,69.6344849282845,69.6344849282845
267,AMAT,2025-04-04,110.0,0.05,put,3,12,0.54619,-0.00185,0.00033,-0.0031,0.00195,-0.00014,0.0410958904109589,0.004072298703597627,0.004072762945649837
269,AMAT,2025-04-04,115.0,0.24,put,4,21,0.47912,-0.00209,0.00042,-0.00304,0.00218,-0.00015,0.0410958904109589,0.004010230593971209,0.0040107519239484255
271,AMAT,2025-04-04,120.0,0.13,put,8,7,0.6407,-0.0311,0.0033,-0.04317,0.02323,-0.00235,0.0410958904109589,0.16681869609714406,0.16703998109751692
272,AMAT,2025-04-04,125.0,26.6,call,0,3,0.53003,0.96932,0.00395,-0.05001,0.02296,0.05581,0.0410958904109589,29.846987578726967,29.887146700514144
276,AMAT,2025-04-04,135.0,20.3,call,0,7,0.50244,0.89577,0.01087,-0.10253,0.05992,0.05489,0.0410958904109589,20.347625097876374,20.419645516910307
277,AMAT,2025-04-04,135.0,0.7,put,4,264,0.50122,-0.10373,0.01085,-0.08604,0.05971,-0.00782,0.0410958904109589,0.604744050105845,0.7
278,AMAT,2025-04-04,140.0,13.3,call,0,25,0.51845,0.81523,0.01553,-0.14774,0.08837,0.05101,0.0410958904109589,16.14717943241456,16.231064029565957
279,AMAT,2025-04-04,140.0,1.27,put,7,51,0.46571,-0.16184,0.01589,-0.10813,0.08121,-0.01221,0.0410958904109589,1.0228496368887434,1.27
280,AMAT,2025-04-04,143.0,14.7,call,0,1,0.46769,0.78027,0.0191,-0.14752,0.09803,0.0498,0.0410958904109589,13.343285084510867,13.421430033608305
281,AMAT,2025-04-04,143.0,1.9,put,1,3,0.45305,-0.21335,0.01938,-0.1243,0.09637,-0.01614,0.0410958904109589,1.4671956725669162,1.4756870675218974
283,AMAT,2025-04-04,144.0,2.19,put,2,5,0.42577,-0.22247,0.02113,-0.11935,0.09872,-0.01679,0.0410958904109589,1.4487073639031145,1.457388742781304
284,AMAT,2025-04-04,145.0,12.1,call,4,20,0.47226,0.73576,0.0209,-0.16255,0.10836,0.04727,0.0410958904109589,11.86571807135158,11.942406207246727
285,AMAT,2025-04-04,145.0,2.27,put,5,1714,0.44635,-0.25425,0.02168,-0.13453,0.10622,-0.01928,0.0410958904109589,1.8633227174249427,2.27
286,AMAT,2025-04-04,146.0,11.85,call,0,1,0.4907,0.70734,0.02115,-0.17595,0.11389,0.04546,0.0410958904109589,11.329072420341532,11.405566317323679
288,AMAT,2025-04-04,147.0,11.4,call,0,4,0.44497,0.69856,0.02364,-0.16264,0.11544,0.04539,0.0410958904109589,10.158525150141685,10.229167534035769
291,AMAT,2025-04-04,148.0,3.35,put,1,1,0.41357,-0.31676,0.02599,-0.13738,0.11797,-0.02402,0.0410958904109589,2.373025582007216,2.3901066201465038
292,AMAT,2025-04-04,149.0,8.85,call,4,1,0.43872,0.64936,0.0255,-0.16927,0.12279,0.0425,0.0410958904109589,8.743384824174257,8.808212650953097
